,TeamName,points,TotalWins,TotalDraws,TotalLosses,season,GoalsScored,GoalsConceded,GoalDifference,YellowCard,RedCard,totalFouls
0,Man City,355,111,22,19,1819,364,127,237,250,9,1512
1,Chelsea,322,98,28,26,1819,283,142,141,239,8,1478
2,Liverpool,310,91,37,24,1819,303,150,153,201,6,1441
3,Tottenham,298,91,25,36,1819,285,154,131,246,9,1632
4,Man United,286,82,40,30,1819,249,148,101,277,12,1787
5,Arsenal,283,85,28,39,1819,295,182,113,264,9,1569
6,Everton,211,57,40,55,1819,208,198,10,243,11,1738
7,West Ham,186,49,39,64,1819,191,234,-43,272,10,1538
8,Leicester,184,50,34,68,1819,201,226,-25,229,15,1624
9,Crystal Palace,182,50,32,70,1819,193,222,-29,269,6,1807
10,Southampton,181,46,43,63,1819,177,202,-25,249,10,1728
11,Burnley,167,43,38,71,1819,148,215,-67,269,5,1541
12,Bournemouth,135,36,27,51,1819,156,198,-42,166,5,1042
13,Watford,131,36,23,55,1819,136,191,-55,223,13,1391
14,Stoke,131,33,32,49,1415,124,169,-45,214,4,1356
15,Swansea,130,36,22,56,1415,119,175,-56,155,6,1176
16,Newcastle,128,34,26,54,1819,121,158,-37,175,11,1264
17,West Brom,120,29,33,52,1415,112,158,-46,216,4,1312
18,Brighton,76,18,22,36,1819,69,114,-45,114,6,876
19,Hull,69,17,18,41,1415,70,131,-61,138,11,854
20,Sunderland,62,13,23,40,1415,60,122,-62,170,6,872
21,Wolves,57,16,9,13,1819,47,46,1,72,1,409
22,Huddersfield,53,12,17,47,1819,50,134,-84,116,7,816
23,Aston Villa,38,10,8,20,1415,31,57,-26,70,7,400
24,Cardiff,34,10,4,24,1819,34,69,-35,65,1,384
25,QPR,30,8,6,24,1415,42,73,-31,75,3,447
26,Middlesbrough,28,5,13,20,1617,27,53,-26,76,1,478
27,Fulham,26,7,5,26,1819,34,81,-47,68,2,423
